"M.b1t1"	"M.b1t2"	"M.b1t3"	"M.b2t1"	"M.b2t2"	"M.b2t3"	"M.b3t1"	"M.b3t2"	"M.b3t3"	"H.b1t1"	"H.b1t2"	"H.b1t3"	"H.b2t1"	"H.b2t2"	"H.b2t3"	"H.b3t1"	"H.b3t2"	"H.b3t3"
233250000	126820000	182180000	215300000	256010000	241900000	163860000	165170000	146180000	266840000	187310000	245720000	306350000	321360000	332120000	268950000	239160000	220030000
21118000	14355000	4989400	19812000	26740000	16745000	20208000	14406000	16801000	70176000	14784000	9273300	44770000	61064000	26512000	31101000	29874000	31148000
145860000	195630000	198370000	55083000	23710000	21841000	137400000	141620000	92501000	76235000	983290000	9.27e+08	167590000	48212000	44807000	855930000	632380000	659680000
118730000	126060000	123800000	107640000	104880000	94009000	116460000	121110000	119270000	149210000	137740000	123340000	109760000	133650000	110930000	116250000	97284000	100060000
122050000	117340000	128930000	90805000	84283000	99428000	150420000	174910000	151370000	193960000	178880000	243860000	121690000	167260000	166220000	174980000	161180000	166280000
7375900	8471900	5840700	1398100	1643300	1058700	5838400	7654200	4094400	18462000	18744000	13671000	3680000	4017800	8038800	7639300	16968000	6999000
261830000	198060000	197940000	157900000	146850000	175600000	190620000	200800000	202790000	358680000	311810000	399050000	201550000	184350000	215520000	367910000	399770000	379960000
NA	NA	NA	4989600	12017000	10208000	2947200	4652900	3422400	1771300	5382800	31719000	109640000	102840000	105870000	41099000	47884000	62451000
2459800	2316000	2866400	1178200	1916700	2855200	1340600	1793500	1872200	5309100	5264600	12916000	2719600	2461100	3586500	4227900	6709700	631830
179770000	52643000	41549000	129440000	156320000	31121000	33996000	185610000	162680000	75352000	61934000	74201000	43713000	35144000	31713000	46847000	64055000	54966000
5512700	4896400	15712000	NA	1561800	4465400	NA	4426600	2842700	7328300	7464100	21132000	NA	1805700	3024100	NA	4427900	4394800
9370900	3227900	1176800	5887400	6436400	7261000	1257100	2548500	1325600	16406000	10781000	7644800	20581000	10777000	16462000	8392900	9391500	4780700
34382000	23722000	21187000	32950000	60220000	60359000	36913000	43295000	47138000	47586000	37847000	42238000	49602000	69431000	77467000	34251000	42746000	36353000
12694000	16325000	16123000	4541000	7121600	5952000	12431000	NA	487580	976760	2677600	2496100	2842700	5983400	3714800	13213000	NA	814160
17785000	7801100	15105000	10360000	19409000	10119000	9686300	7416600	7442700	36460000	12542000	13006000	10037000	34925000	16529000	7679200	15153000	8643500
30999000	27846000	34050000	18173000	17946000	17567000	23957000	21780000	26534000	76625000	54092000	67382000	46427000	43281000	41241000	49970000	42383000	55576000
3611200	5132300	5082600	5375500	4265700	4034300	5625400	3855600	10200000	5012400	4578400	4829700	6098800	8214100	4320300	6461600	4851900	10442000
6507100	8117700	3598700	1598200	2923300	1403200	1447200	4625700	4693000	21165000	26994000	21824000	4223400	5725900	6654700	4377100	12738000	11618000
44839000	54690000	51448000	17199000	10073000	17702000	25926000	31558000	41417000	28439000	29278000	35684000	23381000	12131000	15598000	24655000	14682000	22512000
866010	1128000	2333300	NA	NA	NA	1069100	719590	1769500	2297400	2172500	4389800	NA	NA	NA	2250200	2672200	3914500
60153000	66800000	63911000	45232000	31349000	23077000	85017000	89208000	84665000	102530000	98759000	98830000	75424000	85245000	76714000	62666000	64807000	46377000
29106000	22120000	4501800	3443800	19707000	20136000	2326800	20208000	20075000	9023000	5171700	1523100	2768100	5415500	4504700	2218000	2924000	2760100
5038200	6973000	12336000	8793500	10221000	2249600	1331700	1240600	1304300	10981000	10684000	17821000	14077000	20638000	4423400	6388500	7102600	4106700
1555100	1668900	4449800	3907900	2404100	3422900	2000500	1799400	1507200	7817600	8622100	26848000	16806000	11738000	14957000	6481400	21115000	7112200
108110000	69151000	71168000	92897000	84177000	72288000	79158000	78682000	67562000	154150000	157500000	101140000	216590000	161590000	151130000	106820000	133740000	115300000
4456900	5492700	8877800	NA	3173500	2062500	4568200	4767700	4930500	8148200	9454700	13846000	NA	6650700	2192000	5987500	8177700	6846000
12123000	4885700	6279900	178130	NA	NA	1016100	2606000	1810600	22044000	13098000	19963000	642590	NA	NA	2462900	3374500	9583000
19600000	45727000	173420000	6447500	49145000	1937000	38012000	16071000	18268000	13015000	12482000	17614000	4284800	10175000	2592600	12558000	7474900	15680000
1914800	6037600	2283000	1481100	NA	891600	3091000	1493400	2609500	3090000	6163700	2541200	1944200	NA	254460	2396100	2999800	3700500
11002000	13036000	13564000	NA	NA	NA	4137300	1641300	1407200	22398000	22557000	25580000	NA	NA	NA	7016600	337100	555170
38496000	42036000	50432000	28906000	23806000	19348000	19146000	27272000	29265000	19725000	35160000	28046000	15620000	20558000	14594000	14285000	10953000	11692000
26933000	19703000	34122000	20872000	34198000	27142000	23852000	18865000	22262000	19537000	19954000	33561000	28031000	33793000	24295000	21732000	24556000	19614000
50868000	44837000	40508000	29230000	30050000	38572000	387720	28498000	20411000	11199000	12530000	10971000	26917000	10353000	24605000	445790	36524000	33635000
395880000	165680000	158710000	48697000	1509800	1714600	157090000	157160000	94002000	20974000	10868000	12548000	1709700	1838300	982640	10274000	12290000	10053000
3097800	2978900	1511600	5979400	1667200	4851600	1608300	1177100	1809800	1739700	1287400	2065400	2150300	1560500	4123900	1224700	2056000	3161800
98036000	2568100	1051100	1435300	27204000	6186800	1561800	1433600	601240	92767000	95240000	98723000	86046000	109080000	93355000	87082000	87767000	86561000
4805700	5001100	14453000	5696100	2930200	3624800	4338700	10001000	782390	4361700	7414200	10439000	10654000	4400300	5254900	6347200	13274000	2234000
6958700	11893000	13379000	12317000	9487100	8316900	8927500	7074000	8032200	19006000	34825000	33728000	39075000	31705000	24572000	35163000	22613000	23672000
6452400	5764800	6195700	8623900	24460000	27696000	4695800	27574000	7307200	64916000	4469800	3820500	8174200	17363000	17202000	3197200	29239000	4434600
4284800	5223200	5748000	2936400	2952100	NA	4114000	4024900	4594600	6134200	7366600	8515800	4850300	6243400	NA	6710700	6610700	8276300
504610000	551440000	579070000	792450000	917440000	846840000	668520000	648070000	577170000	129790000	281820000	213110000	363240000	285960000	309610000	235680000	235340000	185890000
2514600	2750000	3110400	6093400	6512500	5006100	3215000	1976900	3884000	3315500	11207000	8333700	12454000	11658000	8235500	4401600	6605000	9736200
2737800	4235400	3612700	1531300	271080	225340	3364300	2113100	3029400	2480200	3513300	3492900	2022300	670420	290660	4042700	3579500	4033000
62314000	24210000	35946000	23784000	26463000	25376000	16247000	38355000	32033000	23654000	13388000	33330000	16850000	16997000	13436000	20148000	26892000	20907000
19954000	22771000	27523000	19035000	29639000	26090000	22761000	18469000	15628000	22092000	22846000	33768000	13806000	26574000	36050000	31299000	13696000	15229000
175910000	170810000	179230000	110630000	127720000	96336000	130690000	134560000	212870000	171900000	156270000	163130000	90011000	107650000	91564000	138890000	127070000	124390000
13008000	33092000	34719000	24260000	25524000	42855000	12845000	15647000	10052000	22430000	17401000	19308000	19555000	14362000	25979000	15142000	11851000	12379000
108920000	111610000	113110000	132710000	112350000	116050000	114320000	102290000	99505000	167210000	151300000	186090000	200210000	173080000	192510000	155040000	150620000	144280000
3662100	3443600	2031000	1909800	2650300	2630400	5731000	2714300	3506100	1349200	2098300	1357200	2192100	5180000	3948900	5969700	2197500	1350200
1879600	3438300	3062400	3381900	1372800	3007300	1626700	11170000	8324800	2652100	3654800	2797400	5264500	1218100	3389600	2238600	4131700	7946100
4834500	7749700	6519400	1128800	NA	NA	2747900	3003700	3741500	9210900	9684900	11716000	2150400	NA	NA	4573900	2720200	6054500
15029000	16575000	29777000	16759000	21731000	19978000	15930000	19991000	18151000	46758000	58600000	39105000	25982000	43753000	131910000	46546000	22301000	22565000
9775000	8284500	7255500	11085000	11955000	9077000	10793000	9916600	7778100	16534000	11895000	12269000	14497000	23125000	12307000	15144000	8618100	9384400
272560000	221190000	217090000	127030000	207850000	154640000	155790000	167610000	181470000	370530000	279670000	298700000	217240000	309960000	292970000	252430000	249460000	255460000
33685000	23574000	56510000	43444000	39780000	50485000	48497000	45486000	40739000	43484000	40130000	52567000	64108000	59357000	69032000	43265000	115020000	110770000
171550000	136660000	119300000	84681000	110240000	112750000	110200000	108650000	131870000	277540000	235890000	194380000	186740000	254430000	248520000	232990000	255810000	260470000
141720000	234910000	230060000	76106000	78972000	96674000	197040000	125930000	184520000	149560000	195940000	232760000	132370000	68985000	56736000	112590000	121940000	152170000
20500000	14744000	13810000	8657800	9488500	17310000	9818200	8222900	17087000	28805000	33008000	34459000	25824000	31078000	43269000	23533000	25892000	39314000
72297000	62979000	47014000	71240000	70556000	135260000	51503000	39804000	44750000	183990000	148070000	156890000	200320000	247740000	215750000	164780000	123070000	175120000
191290	293580	148500	1691900	383360	5904900	3298300	NA	2803100	592570	194990	186490	1896200	2346800	3114800	143280	NA	529680
5925200	8537000	9874500	315090	NA	14983000	1391100	897480	3160400	29843000	26559000	10607000	1213100	NA	NA	809720	242430	1642200
19121000	19351000	18671000	4735700	7146700	3980000	14515000	21339000	18560000	34162000	49070000	48825000	5388900	3713900	5064000	31774000	37995000	29970000
1645500	NA	9996900	7488300	4728700	486480	9926400	6797000	7808400	2189000	NA	4845100	3511900	628300	612790	2835500	5379100	6103600
15864000	17772000	8639500	36955000	45537000	39914000	21377000	20882000	11687000	21185000	26040000	12511000	51845000	71910000	58812000	31461000	31196000	17697000
7722100	6956600	11046000	10014000	7910800	8434900	6698600	10178000	1738400	10798000	10266000	9393600	9309900	8076700	8456200	5157500	4722700	653140
2175800	2089200	2772600	8763000	10048000	12041000	5061000	3905400	5022900	14694000	27082000	25420000	25407000	35582000	31497000	33672000	39018000	44969000
1678900	983400	1140500	3730600	10220000	5817100	3126700	3305900	3251300	2419900	1768000	4621800	15918000	27175000	13183000	7040600	2813500	5343200
34089000	23586000	27969000	22440000	52852000	53753000	40139000	44933000	26379000	35484000	33062000	42449000	38114000	40391000	44121000	34633000	40435000	28719000
16944000	28811000	32416000	58787000	39269000	27857000	80864000	65410000	103660000	73704000	41237000	55022000	38671000	40648000	33942000	49066000	37014000	47521000
2424100	2154800	3760400	4556300	50312000	51293000	2860800	4077200	2851700	1840500	2185200	7265600	8803700	7744700	8921700	5283000	5894100	3104700
23363000	12098000	20179000	9137300	11058000	12273000	11123000	13220000	8974200	15004000	9061400	8793400	7537900	6495800	7661500	4474700	6251900	5573700
6721100	4041400	2234200	19810000	17671000	18406000	9562500	10306000	8488500	52746000	42888000	41710000	90904000	99912000	92501000	56529000	64597000	37287000
6335700	10325000	19104000	37305000	7075900	28703000	15985000	6500100	4601700	72043000	62291000	78643000	121300000	101570000	100510000	93929000	79708000	50960000
134760000	1.38e+08	157090000	49380000	29904000	29840000	82618000	110340000	90338000	88308000	144100000	179800000	34803000	27113000	31350000	120260000	131220000	105710000
23455000	18502000	19498000	17155000	21687000	22185000	16314000	18107000	14542000	38557000	19612000	18045000	27134000	18104000	27178000	38438000	15386000	12832000
19062000	14576000	14724000	17550000	11453000	16038000	16434000	28489000	27487000	45038000	13423000	15703000	18092000	20848000	21651000	16818000	24247000	21180000
214140000	200540000	318150000	231040000	235450000	135910000	176310000	224860000	161230000	144380000	143920000	178820000	125030000	166730000	133130000	147270000	124740000	142080000
138540000	75180000	107180000	46936000	91856000	82358000	104890000	100950000	129970000	33306000	26417000	26547000	19245000	39502000	24785000	22703000	20357000	27155000
10732000	11216000	5477300	11652000	6806000	11380000	NA	12384000	7077300	6069300	10402000	6001300	9778700	7060300	9412900	NA	9376800	4440200
87131000	103860000	110870000	15368000	12069000	10568000	45073000	45625000	51349000	124650000	108330000	116040000	16466000	13514000	12685000	37752000	41985000	44147000
98173000	73703000	98637000	138630000	109770000	152250000	77014000	87931000	85332000	109270000	97455000	108050000	118490000	130220000	134110000	79643000	108020000	101470000
2758600	1573400	NA	2028500	2155000	1452100	NA	1886400	1082800	19386000	30643000	13675000	39268000	40220000	27190000	20601000	31588000	24520000
6626000	9603700	18304000	15808000	13590000	12105000	13767000	9990000	10320000	4345700	15467000	18554000	13852000	15752000	14323000	11246000	8335100	9919000
11478000	13645000	16465000	78630000	2869000	24753000	15149000	17985000	6219500	23556000	21072000	19281000	83194000	14720000	124150000	30598000	4938500	5116300
48244000	44657000	44337000	38027000	58422000	53742000	33286000	32193000	32901000	58877000	17041000	6658900	18982000	73423000	70490000	52162000	33738000	12169000
19281000	31567000	33366000	34332000	16100000	22342000	16972000	18255000	35700000	19932000	31679000	28151000	33119000	19087000	20526000	13053000	18689000	29602000
27561000	32675000	33472000	39537000	49648000	38492000	31212000	36656000	29816000	80011000	33814000	89410000	65364000	68460000	61643000	69396000	72368000	69932000
2793700	2196700	1489800	4121100	1415000	2014300	1552700	1711900	1198300	4132400	3400800	3580700	3504300	1159700	1877200	4002900	4089300	3870300
5126900	5304900	4062400	11461000	6589800	9508800	7930100	9650700	7434400	10264000	14947000	15876000	27976000	10821000	23379000	19442000	12230000	14714000
53002000	19442000	59534000	24986000	19070000	25591000	32756000	14199000	17900000	28403000	31889000	34512000	43262000	38844000	33433000	48408000	27940000	40401000
163750000	137690000	152580000	54898000	61342000	64589000	106630000	116440000	106300000	135930000	170960000	111380000	45597000	40660000	41179000	149080000	185100000	118840000
11619000	211080000	23063000	1466700	2419000	NA	18051000	40045000	10128000	11903000	39004000	18534000	6008300	314180	NA	16272000	16424000	8936300
12724000	15136000	10273000	10207000	17193000	16457000	16899000	14429000	9996600	21707000	24069000	17015000	21337000	23596000	26154000	26098000	24915000	14270000
419790	58057000	51052000	55272000	68812000	64325000	638300	1916100	737980	10123000	5858900	6997000	7582200	7789000	9407800	1955400	2261600	6308800
96783000	113260000	91083000	46228000	74093000	69587000	66039000	78980000	101550000	85384000	102610000	77327000	42398000	63272000	63473000	66855000	70957000	77660000
47943000	21550000	27544000	20136000	39898000	40211000	17580000	25411000	18686000	67635000	58214000	82008000	29159000	34896000	42016000	66146000	71404000	60659000
140810000	129030000	132240000	103570000	128800000	135010000	95538000	134680000	148960000	47190000	115170000	133630000	63250000	27693000	27694000	74509000	119640000	113790000
19154000	26148000	24163000	29922000	39159000	31252000	25561000	24677000	26917000	26363000	27819000	25655000	43471000	58463000	48463000	27994000	26573000	29799000
7957800	5750600	3786000	2977900	4029100	1560400	1934500	4633900	5505300	51077000	47668000	49388000	14559000	40454000	20954000	26504000	30692000	40432000
65748000	48753000	570980000	142450000	157660000	169910000	286920000	318630000	304570000	88836000	66542000	84753000	79872000	106980000	104130000	55912000	50998000	73704000
20048000	18889000	36969000	29586000	32150000	36049000	34238000	34106000	29957000	83066000	80694000	92083000	66197000	67968000	63902000	71598000	75124000	70492000
32265000	32936000	36227000	47584000	50881000	43460000	22045000	18663000	20653000	44523000	32632000	35239000	57490000	85246000	52881000	2.1e+07	20875000	24298000
37792000	57406000	47097000	25244000	20012000	54227000	78695000	44396000	33815000	28871000	28596000	42492000	27018000	19200000	24461000	27579000	20159000	22362000
9127200	4311400	6785700	2.4e+07	16902000	11093000	8598000	11602000	9475100	13745000	5522000	10857000	32137000	20874000	17887000	15926000	13911000	16054000
58338000	31122000	58323000	19784000	25054000	35687000	15766000	20629000	20369000	66296000	42841000	72522000	19081000	13801000	18327000	66854000	63848000	50641000
2451200	173700	2737500	567710	3126600	308340	442100	519250	NA	5037500	1536700	4224600	586540	2506000	540160	1035700	786510	NA
103420000	97750000	130430000	104690000	79163000	91758000	80171000	178040000	137510000	101510000	62597000	58609000	57157000	103450000	74987000	45832000	77119000	53201000
72007000	64433000	37040000	95583000	105690000	83547000	50182000	53186000	65119000	80388000	66996000	63060000	121730000	129660000	118430000	67954000	84409000	81286000
84549000	83535000	86947000	75651000	72263000	82585000	71516000	76407000	70203000	161050000	135390000	150440000	131070000	171730000	161730000	154750000	157250000	155120000
26716000	7525300	5142900	10407000	8749400	8898000	15080000	9162100	5914700	60014000	25931000	26223000	44395000	37998000	49579000	34400000	21592000	21033000
32558000	25421000	28282000	60264000	30705000	38131000	51536000	25850000	26035000	41793000	28384000	31784000	48883000	38010000	30389000	29847000	27185000	26701000
10223000	17622000	10001000	24039000	24689000	25603000	11455000	12952000	16315000	6035400	13388000	9651100	18006000	21515000	23605000	12494000	10436000	11990000
50699000	26248000	38904000	26613000	27433000	39892000	40731000	32390000	34534000	29977000	15175000	20717000	15436000	16573000	15324000	16369000	16567000	20816000
1376400	1694700	1384800	627390	793370	775340	1046400	670230	440410	1553100	2860300	478710	771930	994910	1084900	531170	685150	1278400
12951000	11927000	9835100	41147000	44365000	28465000	23114000	36148000	31633000	30766000	18135000	18258000	74645000	82114000	47606000	40640000	47885000	53939000
19779000	14018000	11562000	2120300	6977900	4065000	9331600	15116000	12646000	24561000	26937000	29316000	2432600	18328000	11485000	21720000	23273000	21282000
NA	657570	981510	2220300	1010200	1707100	1328500	1082600	1346100	NA	2517600	2554800	3952000	6367700	4934400	3857000	3628300	4242700
11233000	7299400	12422000	11343000	13364000	14812000	14109000	14426000	8610500	13277000	6866200	9502400	14954000	14383000	22558000	8700800	16785000	10101000
1393300	NA	83577	7846300	9996700	7485000	2773300	2103000	1308100	2236200	NA	2538600	12884000	18544000	13977000	5975000	1565500	1212400
26113000	29406000	17196000	25555000	20210000	24424000	26396000	23538000	24375000	75728000	60234000	46785000	80500000	61529000	68678000	74016000	69319000	73919000
